PubMed ID	URL	PDF	First Author	Authors	Year	Journal	Judgement	Outcome category	Outcome subcategory	Animal	Animal subtype	Animal age	Animal gender	Animal weight	Injury height	Injury type	Outcome name	Outcome further detail name	Outcome further detail value	Injury location	Injury device	Injury device detail	Treatment type	Treatment detail	Treatment application	Treatment  dosage	Injured treated	Injured control	Sham control	Trend	Timepoint	Animal weight, lightest (g)	Animal weight, heaviest (g)	BBB timepoint (days)	BBB value (Treated)	BBB value (Control)
14588302	14588302	Open PDF	Resnick	Resnick DK, Nguyen P, Cechvala CF.	2001	Spine J	Positive	Non-functional	Inflammation	Rat	Long-Evans	Adult	Not defined		Thoracic	Contusion	Prostaglandins	TxB2 in spinal cord			NYU impactor	25 g x cm	Systemic	Celebocid	Oral	3 mg/kg	4	not defined		Decrease						
14622121	14622121	Open PDF	Labombarda	Labombarda F, Gonzalez SL, Deniselle MC, Vinson GP, Schumacher M, De Nicola AF, Guennoun R.	2003	J Neurochem	Positive	Non-functional	Neuroprotection	Rat	SD	Adult	Male	250-300 g	Thoracic	Complete transection	Cell loss	increase of numbers of 25-Dx-immunoreactive neurons					Systemic	Progesterone	Subcutaneous	4 mg/kg	4	10		Decrease	3 d	>=200, <300	>=300, <400			
14622121	14622121	Open PDF	Labombarda	Labombarda F, Gonzalez SL, Deniselle MC, Vinson GP, Schumacher M, De Nicola AF, Guennoun R.	2003	J Neurochem	Positive	Non-functional	Molecular changes	Rat	SD	Adult	Male	250-300 g	Thoracic	Complete transection	Genetic transcription	mRNA expression of 25-Dx (membrane binding site)					Systemic	Progesterone	Subcutaneous	4 mg/kg	4	10		Increase	3 d	>=200, <300	>=300, <400			
14622121	14622121	Open PDF	Labombarda	Labombarda F, Gonzalez SL, Deniselle MC, Vinson GP, Schumacher M, De Nicola AF, Guennoun R.	2003	J Neurochem	No effect	Non-functional	Neuroprotection	Rat	SD	Adult	Male	250-300 g	Thoracic	Complete transection	Cell loss	numbers of PR-immunoreactive neurons					Systemic	Progesterone	Subcutaneous	4 mg/kg	4	10		No change	3 d	>=200, <300	>=300, <400			
14622121	14622121	Open PDF	Labombarda	Labombarda F, Gonzalez SL, Deniselle MC, Vinson GP, Schumacher M, De Nicola AF, Guennoun R.	2003	J Neurochem	No effect	Non-functional	Molecular changes	Rat	SD	Adult	Male	250-300 g	Thoracic	Complete transection	Genetic transcription	mRNA expression of classical intracellular progesterone receptor (PR)					Systemic	Progesterone	Subcutaneous	4 mg/kg	4	10		No change	3 d	>=200, <300	>=300, <400			
14630702	14630702	Open PDF	Chau	Chau CH, Shum DK, Li H, Pei J, Lui YY, Wirthlin L, Chan YS, Xu XM.	2004	FASEB J	Positive	Non-functional	Neuronal regeneration	Rat	Fischer	Adult	Female		Thoracic	Partial transection	Axonal regeneration	growth caudal to mini-channel with the mean axonal growth in the 7 animals being 3,18 mm +/- 0,98 (other 5 not included)		Hemisection			Local	Chondroitinase ABC	Intrathecal	0,06 U/d	12	12		Increase						
14630702	14630702	Open PDF	Chau	Chau CH, Shum DK, Li H, Pei J, Lui YY, Wirthlin L, Chan YS, Xu XM.	2004	FASEB J	Positive	Non-functional	Secondary degeneration	Rat	Fischer	Adult	Female		Thoracic	Partial transection	Lesion volume	Cavitation		Hemisection			Local	Chondroitinase ABC	Intrathecal	0,06 U/d	12	12		Decrease						
14630702	14630702	Open PDF	Chau	Chau CH, Shum DK, Li H, Pei J, Lui YY, Wirthlin L, Chan YS, Xu XM.	2004	FASEB J	Positive	Non-functional	Neuronal regeneration	Rat	Fischer	Adult	Female		Thoracic	Partial transection	Myelination	number of myelinated axons in the channel,p < 0,002, N=5, control: ~450, ChABC: ~1550		Hemisection			Local	Chondroitinase ABC	Intrathecal	0,06 U/d	12	12		Increase						
14713941	14713941	Open PDF	Shibuya	Shibuya S, Miyamoto O, Janjua NA, Itano T, Mori S, Norimatsu H.	2004	Spinal Cord	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	320 g	Thoracic	Compression	Apoptosis	TUNEL positive cells around injury				25 g	Systemic	Hypothermia		32_C	15	15	9	Decrease		>=300, <400	>=300, <400			
14981254	14981254	Open PDF	Teng	Teng YD, Choi H, Onario RC, Zhu S, Desilets FC, Lan S, Woodard EJ, Snyder EY, Eichler ME, Friedlander RM.	2004	PNAS	Positive	Functional	Locomotor test	Rat	SD	Adult	Female	280-330 g	Thoracic	Contusion	BBB				NYU impactor	10 g x 25 mm	Systemic	Minocycline	Intraperitoneal	8, 90, 180 mg/kg	10	10		Increase		>=200, <300	>=300, <400	28	17	13
14981254	14981254	Open PDF	Teng	Teng YD, Choi H, Onario RC, Zhu S, Desilets FC, Lan S, Woodard EJ, Snyder EY, Eichler ME, Friedlander RM.	2004	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	280-330 g	Thoracic	Contusion	Lesion volume				NYU impactor	10 g x 25 mm	Systemic	Minocycline	Intraperitoneal	8, 90, 180 mg/kg	3	3		Decrease	4 w	>=200, <300	>=300, <400			
14981254	14981254	Open PDF	Teng	Teng YD, Choi H, Onario RC, Zhu S, Desilets FC, Lan S, Woodard EJ, Snyder EY, Eichler ME, Friedlander RM.	2004	PNAS	Positive	Functional	Locomotor test	Rat	SD	Adult	Female	280-330 g	Thoracic	Contusion	Walking analysis	foot coordination			NYU impactor	10 g x 25 mm	Systemic	Minocycline	Intraperitoneal	8, 90, 180 mg/kg	3	3		Increase		>=200, <300	>=300, <400			
14981254	14981254	Open PDF	Teng	Teng YD, Choi H, Onario RC, Zhu S, Desilets FC, Lan S, Woodard EJ, Snyder EY, Eichler ME, Friedlander RM.	2004	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	280-330 g	Thoracic	Contusion	Apoptosis				NYU impactor	10 g x 25 mm	Systemic	Minocycline	Intraperitoneal	8, 90, 180 mg/kg	3	3		Decrease	4 w	>=200, <300	>=300, <400			
14981254	14981254	Open PDF	Teng	Teng YD, Choi H, Onario RC, Zhu S, Desilets FC, Lan S, Woodard EJ, Snyder EY, Eichler ME, Friedlander RM.	2004	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	280-330 g	Thoracic	Contusion	Toxicity				NYU impactor	10 g x 25 mm	Systemic	Minocycline	Intraperitoneal	8, 90, 180 mg/kg	3	3		Decrease		>=200, <300	>=300, <400			
14999069	14999069	Open PDF	Stirling	Stirling DP, Khodarahmi K, Liu J, McPhail LT, McBride CB, Steeves JD, Ramer MS, Tetzlaff W.	2004	J Neurosci	Positive	Functional	Locomotor test	Rat	Wistar	Adult	Not defined		Cervical	Partial transection	Walking analysis	foot coordination		Dorsal column			Systemic	Minocycline	Intraperitoneal	50 mg/kg	8	8		Increase						
14999069	14999069	Open PDF	Stirling	Stirling DP, Khodarahmi K, Liu J, McPhail LT, McBride CB, Steeves JD, Ramer MS, Tetzlaff W.	2004	J Neurosci	Positive	Functional	Locomotor test	Rat	Wistar	Adult	Not defined		Cervical	Partial transection	Footprint analysis	hindpaw angle rotation		Dorsal column			Systemic	Minocycline	Intraperitoneal	50 mg/kg	8	8		Decrease						
14999069	14999069	Open PDF	Stirling	Stirling DP, Khodarahmi K, Liu J, McPhail LT, McBride CB, Steeves JD, Ramer MS, Tetzlaff W.	2004	J Neurosci	Positive	Non-functional	Neuroprotection	Rat	Wistar	Adult	Not defined		Cervical	Partial transection	Axonal damage	CST dieback		Dorsal column			Systemic	Minocycline	Intraperitoneal	50 mg/kg	4	4		Decrease						
14999069	14999069	Open PDF	Stirling	Stirling DP, Khodarahmi K, Liu J, McPhail LT, McBride CB, Steeves JD, Ramer MS, Tetzlaff W.	2004	J Neurosci	Positive	Non-functional	Inflammation	Rat	Wistar	Adult	Not defined		Cervical	Partial transection	Inflammatory cells	ED-1 positive microglia/macrophages number		Dorsal column			Systemic	Minocycline	Intraperitoneal	50 mg/kg	4	4		Decrease	1 w					
14999069	14999069	Open PDF	Stirling	Stirling DP, Khodarahmi K, Liu J, McPhail LT, McBride CB, Steeves JD, Ramer MS, Tetzlaff W.	2004	J Neurosci	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Not defined		Cervical	Partial transection	Apoptosis	glial cell death		Dorsal column			Systemic	Minocycline	Intraperitoneal	50 mg/kg	6	6		Decrease						
15099674	15099674	Open PDF	Gonzalez	Gonz_lez SL, Labombarda F, Gonz_lez Deniselle MC, Guennoun R, Schumacher M, De Nicola AF.	2004	Neuroscience	Positive	Non-functional	Molecular changes	Rat	SD	Adult	Male	250-300 g	Thoracic	Complete transection	Neurotrophic factors	BDNF (mRNA and protein)					Systemic	Progesterone	Subcutaneous	4 mg/kg	4	4	4	Increase	75 h	>=200, <300	>=300, <400			
15099674	15099674	Open PDF	Gonzalez	Gonz_lez SL, Labombarda F, Gonz_lez Deniselle MC, Guennoun R, Schumacher M, De Nicola AF.	2004	Neuroscience	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Complete transection	Toxicity	chromatolysis of L1 motoneurons					Systemic	Progesterone	Subcutaneous	4 mg/kg	4	4	4	Decrease	75 h	>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Functional	Locomotor test	Rat	Wistar	Adult	Male	250-300 g	Thoracic	Compression	Walking analysis	gridwalk			Clip	35 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	9	7		Increase	12 w	>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Non-functional	Molecular changes	Rat	Wistar	Adult	Female	250-300 g	Thoracic	Compression	Cytoskeletal integrity	neurofilaments			Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	7	5		Increase	6 w	>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Non-functional	Neuronal regeneration	Rat	Wistar	Adult	Male	250-300 g	Thoracic	Compression	Myelination				Clip	35 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	6	5		Increase	12 w	>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Functional	Locomotor test	Rat	Wistar	Adult	Female	250-300 g	Thoracic	Compression	BBB		8 [7]		Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	7	6		Increase	6 w	>=200, <300	>=300, <400	42	8	7
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Non-functional	Molecular changes	Rat	Wistar	Adult	Male	250-300 g	Thoracic	Compression	Cytoskeletal integrity	neurofilaments			Clip	35 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	6	5		Increase	12 w	>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Male	250-300 g	Thoracic	Compression	Lesion volume	tissue sparing			Clip	35 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	n/a	n/a		Decrease		>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Functional	Locomotor test	Rat	Wistar	Adult	Male	250-300 g	Thoracic	Compression	Inclined plane test				Clip	35 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	9	6		Increase	12 w	>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Functional	Sensory test	Rat	Wistar	Adult	Male	250-300 g	Thoracic	Compression	Mechanical allodynia	Trunk stimulation			Clip	35 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	8	7		Decrease	12 w	>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Functional	Physiology	Rat	Wistar	Adult	Female	250-300 g	Thoracic	Compression	Autonomic dysreflexia	mean arterial pressure after colon distension			Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	6	7		Decrease	6 w	>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Functional	Locomotor test	Rat	Wistar	Adult	Male	250-300 g	Thoracic	Compression	BBB		9.7 [7.8]		Clip	35 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	9	6		Increase	12 w	>=200, <300	>=300, <400	84	9,7	7,8
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Female	250-300 g	Thoracic	Compression	Lesion volume	tissue sparing			Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	n/a	n/a		Decrease		>=200, <300	>=300, <400			
15102919	15102919	Open PDF	Gris	Gris D, Marsh DR, Oatway MA, Chen Y, Hamilton EF, Dekaban GA, Weaver LC.	2004	J Neurosci	Positive	Non-functional	Neuronal regeneration	Rat	Wistar	Adult	Female	250-300 g	Thoracic	Compression	Myelination				Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	7	5		Increase	6 w	>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Apoptosis	TUNEL			NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	300 _g/kg	3	3		Decrease	1 d	>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	Positive	Functional	Locomotor test	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	BBB		18 [15]		NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	100 _g/kg	8	8		Increase		>=200, <300	>=300, <400	30	18,3	15
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Apoptosis	TUNEL			NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	100 _g/kg	3	3		Decrease	1 d	>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Lesion volume				NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	100 _g/kg	3	3		Decrease		>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Apoptosis	DNA laddering			NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	100 _g/kg	3	3		Decrease	1 d	>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Apoptosis	caspase-3 activity			NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	100 _g/kg	3	3		Decrease	4 h	>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Apoptosis	DNA laddering			NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	300 _g/kg	3	3		Decrease	1 d	>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Apoptosis	Bcl-2			NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	300 _g/kg	3	3		Increase	1 d	>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Apoptosis	Bcl-2			NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	3 _g/kg	3	3		Increase	1 d	>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Apoptosis	Bcl-2			NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	100 _g/kg	3	3		Increase		>=200, <300	>=300, <400			
15115604	15115604	Open PDF	Yune	Yune TY, Kim SJ, Lee SM, Lee YK, Oh YJ, Kim YC, Markelonis GJ, Oh TH.	2004	J Neurotrauma	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Male	250-300 g	Thoracic	Contusion	Apoptosis	bcl-2 expression in tissue sections in putative neurons			NYU Weight Drop	10 g x 12.5 mm	Systemic	Estrogen	Intravenous	100 _g/kg	3	3		Increase	1 d	>=200, <300	>=300, <400			
15293235	15293235	Open PDF	Schwab	Schwab JM, Conrad S, Elbert T, Trautmann K, Meyermann R, Schluesener HJ.	2004	Glia	Positive	Non-functional	Neuronal regeneration	Rat	Lewis	Adult	Male	250-300 g	Thoracic	Partial transection	Axonal regeneration	GAP-43+ neurites at injury site		Dorsal spinal cord symmetrical four-fifth			Systemic	Indomethacin	Intraperitoneal	2 mg/kg/day for 3d	5	5		Increase		>=200, <300	>=300, <400			
15293235	15293235	Open PDF	Schwab	Schwab JM, Conrad S, Elbert T, Trautmann K, Meyermann R, Schluesener HJ.	2004	Glia	Positive	Non-functional	Molecular changes	Rat	Lewis	Adult	Male	250-300 g	Thoracic	Partial transection	RhoA activation	number of RhoA+ cells (granulocytes, ED1+ macrophages/microglia, GFAP+ astrocytes)		Dorsal spinal cord symmetrical four-fifth			Systemic	Indomethacin	Intraperitoneal	2 mg/kg/day for 3d	5	5		Decrease		>=200, <300	>=300, <400			
15307905	15307905	Open PDF	Yick	Yick LW, So KF, Cheung PT, Wu WT.	2004	J Neurotrauma	Positive	Functional	Locomotor test	Rat	SD	Adult	Not defined	200-250 g	Cervical	Partial transection	Forelimb strength	forelimb use in cylinder [%]	29.1 [7.7]	Right hemisection			Local	Chondroitinase ABC	Gelfoam	10 _l of 2,5 U/ml = 0,025 U	4	4		Increase		>=200, <300	>=200, <300		29,1	7,7
15307905	15307905	Open PDF	Yick	Yick LW, So KF, Cheung PT, Wu WT.	2004	J Neurotrauma	Positive	Non-functional	Neuronal regeneration	Rat	SD	Adult	Not defined	200-250 g	Cervical	Partial transection	Axonal regeneration	retrograde tracing (Fluoro-gold) of rubrospinal neurons [%]	22.1 [2.3]	Right hemisection			Local	Chondroitinase ABC	Gelfoam	10 _l of 2,5 U/ml = 0,025 U	5	5		Increase		>=200, <300	>=200, <300		22,1	2,3
15307905	15307905	Open PDF	Yick	Yick LW, So KF, Cheung PT, Wu WT.	2004	J Neurotrauma	No effect	Functional	Locomotor test	Rat	SD	Adult	Not defined	200-250 g	Cervical	Partial transection	Forelimb strength	forelimb use in cylinder [%]	18.1 [7.7]	Right hemisection			Local	Lithium chloride	Gelfoam	85 mg/kg (correct dose in erratum)	4	4		No change		>=200, <300	>=200, <300		18,1	7,7
15307905	15307905	Open PDF	Yick	Yick LW, So KF, Cheung PT, Wu WT.	2004	J Neurotrauma	No effect	Non-functional	Neuronal regeneration	Rat	SD	Adult	Not defined	200-250 g	Cervical	Partial transection	Axonal regeneration	retrograde tracing (Fluoro-gold) of rubrospinal neurons		Right hemisection			Local	Lithium chloride	Gelfoam	85 mg/kg (correct dose in erratum)	5	5		No change		>=200, <300	>=200, <300			
15312174	15312174	Open PDF	Bao	Bao F, Chen Y, Dekaban GA, Weaver LC.	2004	J Neurochem	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Female	220 g	Thoracic	Compression	Oxidative stress	reduction of RNA- and DNA oxidation			Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	17	17		Decrease		>=200, <300	>=200, <300			
15312174	15312174	Open PDF	Bao	Bao F, Chen Y, Dekaban GA, Weaver LC.	2004	J Neurochem	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Female	220 g	Thoracic	Compression	Oxidative stress	protein carbonylation			Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	17	17		Decrease		>=200, <300	>=200, <300			
15312174	15312174	Open PDF	Bao	Bao F, Chen Y, Dekaban GA, Weaver LC.	2004	J Neurochem	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Female	220 g	Thoracic	Compression	Oxidative stress	COX-2			Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	17	17		Decrease		>=200, <300	>=200, <300			
15312174	15312174	Open PDF	Bao	Bao F, Chen Y, Dekaban GA, Weaver LC.	2004	J Neurochem	Positive	Non-functional	Secondary degeneration	Rat	Wistar	Adult	Female	220 g	Thoracic	Compression	Oxidative stress	increased APE/Ref-1 (DNA repair enzyme)			Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	17	17		Decrease		>=200, <300	>=200, <300			
15456912	15456912	Open PDF	Brines	Brines M, Grasso G, Fiordaliso F, Sfacteria A, Ghezzi P, Fratelli M, Latini R, Xie QW, Smart J, Su-Rick CJ, Pobre E, Diaz D, Gomez D, Hand C, Coleman T, Cerami A.	2004	PNAS	Positive	Functional	Locomotor test	Mouse	C57/BL6	Adult	Male		Thoracic	Compression	BBB	complete locomotor recovery in WT mice	21 [12]		Steel Rod	15g	Systemic	Erythropoietin	Intraperitoneal	10 _l/kg	10	10		Increase	4 w			28	21	12
15456912	15456912	Open PDF	Brines	Brines M, Grasso G, Fiordaliso F, Sfacteria A, Ghezzi P, Fratelli M, Latini R, Xie QW, Smart J, Su-Rick CJ, Pobre E, Diaz D, Gomez D, Hand C, Coleman T, Cerami A.	2004	PNAS	No effect	Functional	Locomotor test	Mouse	C57/BL6beta cR knockout	Adult	Male		Thoracic	Compression	BBB		10 [11]		Steel Rod	15g	Systemic	Erythropoietin	Intraperitoneal	10 _l/kg	10	10		No change	6 w			42	10	11
15456912	15456912	Open PDF	Brines	Brines M, Grasso G, Fiordaliso F, Sfacteria A, Ghezzi P, Fratelli M, Latini R, Xie QW, Smart J, Su-Rick CJ, Pobre E, Diaz D, Gomez D, Hand C, Coleman T, Cerami A.	2004	PNAS	No effect	Functional	Physiology	Mouse	C57/BL6	Adult	Male		Thoracic	Compression	Survival				Steel Rod	15g	Systemic	Erythropoietin	Intraperitoneal	10 _l/kg	10	10		No change	6 w					
15456912	15456912	Open PDF	Brines	Brines M, Grasso G, Fiordaliso F, Sfacteria A, Ghezzi P, Fratelli M, Latini R, Xie QW, Smart J, Su-Rick CJ, Pobre E, Diaz D, Gomez D, Hand C, Coleman T, Cerami A.	2004	PNAS	No effect	Functional	Physiology	Mouse	C57/BL6beta cR knockout	Adult	Male		Thoracic	Compression	Survival				Steel Rod	15g	Systemic	Erythropoietin	Intraperitoneal	10 _l/kg	10	10		No change	6 w					
15456912	15456912	Open PDF	Brines	Brines M, Grasso G, Fiordaliso F, Sfacteria A, Ghezzi P, Fratelli M, Latini R, Xie QW, Smart J, Su-Rick CJ, Pobre E, Diaz D, Gomez D, Hand C, Coleman T, Cerami A.	2004	PNAS	No effect	Functional	Physiology	Mouse	C57/BL6beta cR knockout	Adult	Male		Thoracic	Compression	Survival				Steel Rod	15g	Systemic	Erythropoietin	Intraperitoneal	10 _l/kg	10	10		No change	6 w					
15456912	15456912	Open PDF	Brines	Brines M, Grasso G, Fiordaliso F, Sfacteria A, Ghezzi P, Fratelli M, Latini R, Xie QW, Smart J, Su-Rick CJ, Pobre E, Diaz D, Gomez D, Hand C, Coleman T, Cerami A.	2004	PNAS	Negative	Functional	Locomotor test	Mouse	C57/BL6beta cR knockout	Adult	Male		Thoracic	Compression	BBB	Calculation of area under curve	9 [11]		Steel Rod	15g	Systemic	Erythropoietin	Intraperitoneal	10 _l/kg	10	10		Decrease	6 w			42	9	11
15465595	15465595	Open PDF	Saville	Saville LR, Pospisil CH, Mawhinney LA, Bao F, Simedrea FC, Peters AA, O'Connell PJ, Weaver LC, Dekaban GA.	2004	J Neuroimmunol	Positive	Non-functional	Inflammation	Rat	Wistar	Adult	Female	250 g	Thoracic	Compression	Inflammatory cells	neutrophils  in lesion site			Clip	35 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	5	5		Decrease	1 w	>=200, <300	>=200, <300			
15465595	15465595	Open PDF	Saville	Saville LR, Pospisil CH, Mawhinney LA, Bao F, Simedrea FC, Peters AA, O'Connell PJ, Weaver LC, Dekaban GA.	2004	J Neuroimmunol	Positive	Non-functional	Inflammation	Rat	Wistar	Adult	Female	250 g	Thoracic	Compression	Inflammatory cells	macrophages in lesion site			Clip	50 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	5	5		Decrease		>=200, <300	>=200, <300			
15465595	15465595	Open PDF	Saville	Saville LR, Pospisil CH, Mawhinney LA, Bao F, Simedrea FC, Peters AA, O'Connell PJ, Weaver LC, Dekaban GA.	2004	J Neuroimmunol	Positive	Non-functional	Inflammation	Rat	Wistar	Adult	Female	250 g	Thoracic	Compression	Inflammatory cells	neutrophils  in lesion site			Clip	35 g	Systemic	Anti-CD11d Antibody	Intravenous	1 mg/kg	5	5		Decrease		>=200, <300	>=200, <300			
